2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  for
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  today
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  today
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token: ?
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content: ?
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  The
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  The
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  Best
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  Best
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  of
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  of
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  Vietnam
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  Vietnam
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  itinerary
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  itinerary
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  is
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  is
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  coming
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  coming
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  to
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  to
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  an
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  an
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  end
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  end
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token: ,
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content: ,
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  or
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  or
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  would
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  would
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  you
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  you
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  like
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  like
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  to
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  to
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  explore
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  explore
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] token:  more
2026-05-20 16:52:25 | INFO | app.api.routes | [WS] content:  more
